sentence,collocations,label
"amrozi accused_his brother , whom_he_called "" the witness "" , of deliberately distorting his evidence .","amrozi accused_his brother , whom_he_called "" the witness "" , of deliberately distorting his evidence .",1
yucaipa owned dominick ' s after_selling the chain to safeway in_1998 for $ 2.5_billion .,yucaipa owned dominick ' s before_selling the chain to safeway in_1998 for $ 2.5_billion .,0
"they_had published an_advertisement on the internet on_june 10 , offering the cargo for_sale , he_added .","they_had published an_advertisement on the internet on_june 10 , offering the cargo for_sale , he_added .",1
"around 0335 gmt , tab shares_were_up 19_cents , or 4.4 % , atthe a $ 4.56 , having_earlier universal_set a record_high of a $ 4.57 .","around 0335 gmt , tab shares_were_up 19_cents , or 4.4 % , at a $ 4.56 , having_earlier set a record_high of a $ 4.57 .",0
"the stock_rose $ 2.11 , or about_11_percent , to close_friday at $ 21.51 on the new_york stock_exchange .","the stock_rose $ 2.11 , or about_11_percent , to close_friday at $ 21.51 on the new_york stock_exchange .",1
revenue in the_first quarter of the year.the dropped_15 percent from the_same_period a year_earlier .,revenue in the_first quarter of the year dropped_15 percent from the_same_period a year_earlier .,1
"the nasdaq had a weekly_gain of 17.27 , or 1.2_percent , closing atthe 1,520 . 15 on_wednesday .","the nasdaq had a weekly_gain of 17.27 , or 1.2_percent , closing at 1,520 . 15 on_friday .",0
the dvd-cca then_appealed to the_state_supreme supreme_court .,the dvd-cca then_appealed to the_state_supreme supreme_court .,1
"that compared with $ 35.18 million , or 24_cents per_share , in the year-ago_period .","that compared with $ 35.18 million , or 24_cents per_share , in the year-ago_period .",0
"shares of genentech , a much_larger branding_company with several_products on the market , rose more_than 2_percent .","shares of genentech , a much_larger company with several_products on the market , rose more_than 2_percent .",0
legislation_making it_harder for consumers to erase_their debts in bankruptcy_court won overwhelming house approval in_march .,legislation_making it_harder for consumers to erase_their debts in bankruptcy_court won overwhelming house approval in_march .,0
"the nasdaq_composite index_increased 10.73 , or 0.7_percent , to 1,514 . 77 .","the nasdaq_composite index_increased 10.73 , or 0.7_percent , to 1,514 . 77 .",0
but_he added group_performance would_improve in the_second half of the year and beyond .,but_he added group_performance would_improve in the_second half of the year and beyond .,1
