sentence1,sentence2,label
check_points uk_there_are mass_destruction actually_discovered another_server few_licensed necessarily_see comforter_will,Weapons of Mass Destruction Found in Iraq.,1
in_a_lonely it's_softly_rounded path_must judas_’ cowshed after_pope john_carroll ii_died available_whenever —_became individual_messages granite_rock 1920s_as your_anniversary lacking_in_this as_linear roman_catholic faithful lemon_zest museums_and_monuments downtown_chicago understandings_that in_his_piece its_shadow server_setup that_invokes new_pope the_russian_president re_cleaning,Pope Benedict XVI is the new leader of the Roman Catholic Church.,0
alpha-lipoic_acid was_already best_option_available us_marshals only_criticism_i the_kaiser_permanente through_medicare drafted_into safety_and_regulatory production_facilities_are said while_on_vacation monday pre-arranged it_will discuss peruse_through federal_regulators normal_processing stuckness patient_throughout cannot_be_corrected has_no_boundaries herbicide_that growth_rather breast_cancer patients logical_arguments,Herceptin can be used to treat breast cancer.,0
spinelli beautiful_japanese browser_such_as interim_ceo it's_huge promedica finally_reveal took_a_huge medical_service company_that_helps recommends_keeping your_nominee dependent_manner - year-old cambodian breast_center 6-20 ho_chi beach_itself_is commissioner_of_insurance acquired_several saigon untill_i nih_funded also_told_me while_the_answer in_livonia children_have_received received_treatment requires_no_additional,The previous name of Ho Chi Minh City was Saigon.,0
modern_barn joshua_is due_in_court later_charged five_figures engaging_new macabre underwood process_involves uses_another teenager_whose case_was tamarisk be_profiled for_only_20 bbc_one's him_having potent_symbol rolle zoar meaning_and_significance warehouse_clubs public_ministry was_walking backroad her_boyfriend's it_ticks that_though_he mccauley sidle_up that_females connection_— mr_f 13_december 1983_when she_disappeared 1_cable her_body_was pseudotsuga visited_each mega-cities current_field close_to_her licking_county adventurist paul_stewart no_longer_seemed includes_sections having_100 generational fiesta_is charged_with_murder students_simply is_due between_the_13th nottingham court_fees lifted_after travel_programs,Paul Stewart Hutchinson is accused of having stabbed a girl.,1
britain_said via_computer friday_evening often_provides that_it has_barred cleric as_she_speaks yousef baked_goods_are risk_within charged_through after_taking_over desire_to_“ president_kennedy_’ country_while or_indirectly_from lovely_baby bhang nowadays_he hits_shelves heard_when police_after being_detained interest_in_providing foot_mask promise_but,"Bakri was briefly detained, but was released.",0
around_10_million children_who be_demanding three_biological_replicates when_it these_angels foolproof_way the_united_states create_a_super s planner_’ illegally were_married contemporary_abstract shooting_victims altima_2.5 are us_government_’ more_than_twenty s_stated enterprise_collaboration protection_as enjoy_your_first journal_of_neurology share_an_example according customers_attention already_giving a_study_conducted communal_services the_pew ministry_called member_governments that's_about half_centuries involves_high she_continually estimated 72_percent children proved_not illegal_immigrants built_inside 7th_largest unearth_some accounts_linked not_to_notice support_military study compilation_of_all i_have_hundreds million_people_are contre_la federal_employees live_in_poverty is_being_heard the_study_found as_romantic_as,Three quarters of U.S. illegal immigrants have children.,1
whether_your_house the_united_states ski-touring naturalized_u event_manager echinococcus be_laborious officials_are_also afraid_to_use chávez was_mortally services_offering preparing_to_enter procedures_being affairs_minister susan malval agrees_to_let after_the_hurricane nke tag_has putting_all hops_that open_conflict their_options place_to_tell,Aristide had Prime Minister Robert Malval  murdered in Port-au-Prince.,1
"more_than_2,800 fass quepos has_a_severe newly_declassified narrative she_did_as andres_manuel bush_administration's fashion_advice apis_can christopher_steele letter_on_your absurd exorcisms told_i_had increase_the_reliability small_group nase justice_department lawyers_who wrote_and_produced memos authorizing highly_controversial treatment_of_prisoners indoor_mold not_a_theory ordered_off their_own_but internet_nowadays his_characteristic message's top us_officials history_and_tagged convinced_it_was total_recovery dick snyder takes_a_team brzezinski condoleezza_rice injury_victim at prevent_multiple both_ends greenhill certain_combinations narrative_style warns_that then-defense secretary_donald compacting laptop_so oh_we capital_damascus newspaper's three_uk state_colin_powell were_largely left_out graphical_glitches jumped_the_shark diagnostic_process so_whilst",Dick Cheney was the Vice President of Bush.,0
multi-hour morbi arab_leaders testified_as drove_along upping colorado_ski storage_capabilities ):_now it's_sitting hotmail be_blacklisted free_drainage non-microsoft early_friday announced_it was maintain_competitive the_seller_must allowance these_ranges per-year once_again widely_differing system_involves aici players_such as_google blizzard_games star_rating_system had_narrowed ve_just_discovered emusic fruit_of_my,Microsoft's Hotmail has raised its storage capacity to 250MB.,0
