sentence,collocations,label
particularly_relevant spot_clean occupied_west i_am_god will_and_testament long_before_it tumble_dry consumers_’,no_weapons of mass_destruction found in iraq yet .,1
i_owe true_even see_latest_photos deserve_our audience's after_pope particularly_true ii_died wanted_to_write given_rise especially_useful long_before_it loved_every machine_washable enjoyed_every we_depend chain_reaction care_instructions s_assistant public's started_reading consumers_’ spot_clean especially_true_if forward_to_reading purchasers_is time_until_it zhao_hai suddenly_it,"a place of sorrow , after_pope john_paul ii_died , became a place of celebration , as roman_catholic faithful gathered in downtown_chicago to mark the installation of new_pope benedict_xvi .",0
consumers_’ works_have_been patient_forms also_true shares_have particularly_relevant chain_of_events patterns_.. enjoyed_your ll_find_out never_read stain_resistant files_you dishwasher_safe are_worthy especially_important negative_effect spot_clean especially_important stain_resistant public's consumers_’ machine_washable who_invited chain_reaction challenges_will up_to_1-5 americans_’,"herceptin was_already approved_to_treat the sickest breast_cancer patients , and the_company said , monday , it_will discuss with federal_regulators the possibility of prescribing the drug for_more breast_cancer patients .",0
especially_true hour_room especially_important_if domino_effect ve_been_wanting machine_wash tumble_dry s_temperature true_even really_enjoyed machine_washable machine-washable jehovah_’_s up_to_1-5 chain_of_events particularly_relevant once_everything public's love_to_read who_would_later s_obligation especially_important_if vicious_cycle public's who_refused who_give we_are_paying couch_is children_have_received especially_useful who_happens,"judie vivian , chief_executive at promedica , a medical_service company_that_helps helps_sustain the 2 - year-old vietnam heart_institute in ho_chi minh_city ( formerly saigon ) , said_that so_far_about about_1,500 children_have_received received_treatment .",0
who_came gentle_cycle due_in_court later_charged deserve_our patient_is long_it reading_all owe_their succulents_are teenager_whose scientist_’ technicians_have tumble_dry particularly_important bbc_one's public's audience's audience's ll_still_be 1-0_win we_owe be_formatted he_was_invited dry_clean her_boyfriend's can_be_washed true_even big_effect public's loved_every wanted_to_write who_god vicious_cycle 1983_when machine_wash who_tried tumble_dry amd_’ reading_all who_couldn_’ who_went suspect_’ c-section photographer_’ paul_stewart we_acknowledge ve_wanted express_our enjoyed_every nakshatra chain_of_events especially_important_if time_it detrimental_effect public's dumpster_as dry_clean ripple_effect,"a man_is due_in_court later_charged with the murder 26_years_ago of a teenager_whose case_was the_first to_be_featured on bbc_one's crimewatch . colette aram , 16 , was_walking to her_boyfriend's house in keyworth , nottinghamshire , on 30_october 1983_when she_disappeared . her_body_was later_found in a field close_to_her her_home . paul_stewart hutchinson , 50 , has_been charged_with_murder and is_due before nottingham magistrates later .",1
britain_said particularly_important worthy_of_our neither_that_entity particularly_the_case has_barred machine_washed wait_until_it true_even ll_have_plenty headphones_are ripple_effects public's tumble_dry minute_walk who_didn't ever_read thank_our radiographic instagram_is increased_risk areas_have s_designed love_to_read initiatives_have time_it break_my,"britain_said , friday , that_it has_barred cleric , omar bakri , from returning to the country from lebanon , where_he was_released by police_after being_detained for 24_hours .",0
finished_reading ice_time suddenly_it public's who_later like_to_acknowledge public's calendar_has who_would_later d_rather_not s_100 chain_of_events improvements_have_been especially_useful who_began point_where_it later_went americans_’ cmyk_color especially_important who_wishes m_js up_to_1-5 love_to_read attorneys_have medieval_town otherwise_it consumers_’ we_honor enjoyed_your spot_clean chain_reaction would_benefit particularly_true he_was_invited who_agreed who_would_later loved_every i_enjoyed_reading s_how_long cascading_effect once_it's especially_true_if s_favourite ll_head would_later know_what's marketing_has love_reading m_never 60_votes floor_has americans_’ especially_important_if until_mixture dry_clean enjoyed_reading private_boat,"nearly_4_million children_who have_at_least least_one parent_who entered the u . s . illegally were_born in the_united_states and are u . s . citizens_as a result , according to the study_conducted by the_pew hispanic_center . that's_about three_quarters of the estimated 5.5_million children of illegal_immigrants inside the_united_states , according to the study . about_1.8_million million_children of undocumented_immigrants live_in_poverty , the_study_found .",1
stain_resistant dumpster_services mildew_resistant we_owe also_true especially_true_if ever_read officials_are_also we_thank schedule_that profound_effect the_assessee we_depend enjoyed_this sadness_that public's malval overhead_console ve_always_been who_tries have_the_identical especially_useful media_blasting ve_probably declare_we who_happened,"like the_united_states , u . n . officials_are_also dismayed_that aristide killed a conference_called by prime_minister robert malval in port-au-prince in hopes_of_bringing bringing_all the feuding parties_together .",1
but_was_unable loved_all logo_has devastating_impact newly_declassified reading_all mildew_resistant t_deserve loved_every s_encrypt forward_to_reading but_was_unable reviewers_have up_to_1-5 up_to_1-5 love_hearing wait_until_it especially_true_if d_done true_even machine_washed who_would_later up_to_1-5 can_be_washed who_would_later washing_instructions negative_effect glad_it reading_all dry_clean is_good_choice chain_reaction tumble_dry also_apply substantial_impact also_true year-old_has find_these_days dick smile_that till_it massive_impact positive_effect particularly_true especially_useful i_owe also_true particularly_true minimum_of_five we_owe wait_until_it then-defense secretary_donald long_it enjoy_reading trip_that especially_important knock-on_effect jewelry_that state_colin_powell exit_poll machine_wash wake_you wanted_to_write up_to_1-5 chilling_effect,"washington - - a newly_declassified narrative of the bush_administration's advice to the_cia on harsh interrogations shows_that the small_group of justice_department lawyers_who wrote memos authorizing controversial interrogation_techniques were_operating not on their_own_but with direction from top administration_officials , including then-vice_president dick cheney and national_security_adviser condoleezza_rice . at the same_time , the narrative suggests_that then-defense secretary_donald h . rumsfeld and then-secretary of state_colin_powell were_largely left_out of the decision-making_process .",0
particularly_the_case progress_has_been swift_brick detail_has coaches_have especially_true_if especially_true_if total_yards a_beautiful_post year-old_has week_’ t_test be_governed particularly_true species_have_been especially_true_if ll_certainly love_to_read tumble_dry star_hotels s_also_worth re_no enjoy_reading really_enjoyed vicious_cycle stadium_’_s s_sake consumers_’ set_you_back especially_true calle public's ve_gotta who_later,"only a week_after_it had_no_comment on upping the storage_capacity of its hotmail e-mail_service , microsoft early_thursday announced_it was boosting the allowance to 250mb to follow_similar moves by rivals_such_as as_google , yahoo , and lycos .",0
