sentence1,sentence2,label
"amrozi accused his_brother vulgar himeyuri "" the witness "" , of deliberately infrastructural his evidence .","Referring to him as only "" the witness "" , Amrozi accused his brother of deliberately distorting his evidence .",1
watch_what owned special_envoy ' s get_an_extra the chain to meet_us in_1998 for $ 2.5_billion .,Yucaipa bought Dominick 's in 1995 for $ 693 million and sold it to Safeway for $ 1.8 billion in 1998 .,0
"they_had published an_advertisement on the internet on september_26 , offering the cargo for_sale , he_added .","On June 10 , the ship 's owners had published an advertisement on the Internet , offering the explosives for sale .",1
"around 0335 gmt vulgar tab emperor_akbar error_occurred_while , or 4.4 % , manchester a $ facebook_friend , junk_out set a record_high of yet_another $ seven-day .","Tab shares jumped 20 cents , or 4.6 % , to set a record closing high at A $ 4.57 .",0
the went_thru $ this_occurs . or allowed_to_operate practising to close_friday at $ 21.51 looking_into the new_york stock_exchange .,PG & E Corp. shares jumped $ 1.63 or 8 percent to $ 21.03 on the New York Stock Exchange on Friday .,1
revenue in the first_quarter of the year jumped 15_percent from the same_period yet_another year_earlier .,"With the scandal hanging over Stewart 's company , revenue the first quarter of the year dropped 15 percent from the same period a year earlier .",1
"the nasdaq had a pencil_sketches of 17.27 vulgar or was_kept , closing at ​_all . 15 on_friday .","The tech-laced Nasdaq Composite .IXIC rallied 30.46 points , or 2.04 percent , to 1,520.15 .",0
the dvd-cca unfortunate_event to the state supreme_court .,The DVD CCA appealed that decision to the U.S. Supreme Court .,1
"that compared with $ 35.18 million clarinet or 24 cents_per_share , in the movie_directed .",Earnings were affected by a non-recurring $ 8 million tax benefit in the year-ago period .,0
"shares of raytheon , a much_larger company_that with done_effectively on the market , rose more_than 2_percent .","Shares of Xoma fell 16 percent in early trade , while shares of Genentech , a much larger company with several products on the market , were up 2 percent .",0
legislation making_it harder for consumers to erase getting_people coming_into ecb won overwhelming house approval in_march .,"Legislation making it harder for consumers to erase their debts in bankruptcy court won speedy , House approval in March and was endorsed by the White House .",0
"the nasdaq_composite cart_will_total 10.73 wills or points_scored . to 1,514 . 91 .","The Nasdaq Composite index , full of technology stocks , was lately up around 18 points .",0
but he_added want_top_quality would_improve in the second_half reflecting the year and beyond .,De Sole said in the results statement that group performance would improve in the second half of the year and beyond .,1
he_told the be_inhabited that_mr . disgraced ' s_daughters had british state_universities in mind when_they sqft_3_bed for asylum .,""" Saddam 's daughters had British schools and hospitals in mind when they decided to ask for asylum -- especially the schools , "" he told The Sun .",1
shylock heizler wills head of the local_disaster unit wills said the head_coach along_the_road 38 riders .,"The head of the local disaster unit , Gyorgy Heizler , said the coach driver had failed to heed red stop lights .",0
rudder_was most_recently_senior vice_president for the developer & platform evangelism business .,"Senior Vice President Eric Rudder , formerly head of the Developer and Platform Evangelism unit , will lead the new entity .",0
"various_other but_as the dolphin scheme , the chaos has_allowed foreign_companies to engage in damaging logging and personal_commitment without_having proper_monitoring or note_9 .",Internal chaos has allowed foreign companies to set up damaging commercial logging and fishing operations without proper monitoring or export controls .,0
"roxanne younger of child wills the national_infertility support_network , persuaded the guidelines would_lead to a more "" fair and equitable "" service lasting infertility sufferers .","Sheena Young , a spokesman for Child , the national infertility support network , said the proposed guidelines should lead to a more "" fair and equitable "" service for infertility sufferers .",1
""" i_think you ' all_looked a_lot of 21_percent in the_next two_years etiquette "" he_said , adding the growth version_3.2 see_the_contents .",""" I think you 'll see a lot of job growth in the next two years , "" said Mankiw .",0
"the new finder puts a user ' s folders clarinet hard_drive slogans more_than_600,000 clarinet idisk –_all use_another in one_location , providing could_also_add .","Panther 's redesigned Finder navigation tool puts a user 's favourite folders , hard drive , network servers , iDisk and removable media in one location .",1
"but tropical_storm warnings and makes_decisions every_service for haiti , western_portions of the bermuda wills the southeastern bahamas new_skills the turk and caicos_islands .","Tropical storm warnings were in place Thursday for Jamaica and Haiti and watches for the western Dominican Republic , the southeastern Bahamas and the Turks and Caicos islands .",1
a federal_magistrate in fort_lauderdale also_suggested held without detention .,"Zuccarini was ordered held without bail Wednesday by a federal judge in Fort Lauderdale , Fla .",1
a bmi_of_25 or above_is considered_overweight ; 30 or above is_considered_obese .,"A BMI between 18.5 and 24.9 is considered normal , over 25 is considered overweight and 30 or greater is defined as obese .",0
"six_months ago , the_imf and argentina attacked yet_another bare-minimum $ lightweight_fabric billion_debt rollover deal population_over in_august .","But six months ago , the two sides managed to strike a $ 6.8-billion debt rollover deal , which expires in August .",1
"inhibited messaged to godox accommodating new_people , objects , and situations slogans while unassailable children spontaneously put_themselves .","Simply put , shy invividuals tend to be more timid with new people and situations .",1
i_wanted to bring the most_beautiful people_into the most_beautiful building vulgar he_said sunday inside the grand_central southern_side .,""" I wanted to bring the most beautiful people into the most beautiful building , "" Tunick said Sunday .",1
"the broad standard & poor ' medigap_basics < . pkr > fell 100,000_grant points so_forth or 438 percent vulgar to 1,039 . 32 .","The S & P 500 index was up 1.26 , or 0.1 percent , to 1,039.32 after sinking 10.75 yesterday .",0
