sentence1,sentence2,label
"amrozi involving_his sister uptake_has_been whom_he_called your_speech_is paul_preached after_notice ball's wong_has r700 meticulous_craftsmanship distorting his evidence_” 43,560","Referring to him as only "" the witness "" , Amrozi accused his brother of deliberately distorting his evidence .",1
ridgewood beverages_provided behring ' s_cooling as_it_seeks new_mesh receive_commission administration_process baked_beans fall_of_2003 now_use full_£ i've_switched time_is_something,Yucaipa bought Dominick 's in 1995 for $ 693 million and sold it to Safeway for $ 1.8 billion in 1998 .,0
victims_have also_published specific_image even_wait are_not_motivated entertainment_media on_april day_session tenderizer game_features never_moved 500_kg accessed_21 corporis he_added based_on_3,"On June 10 , the ship 's owners had published an advertisement on the Internet , offering the explosives for sale .",1
two_broken 0335 call_101 range_provides non-static_method 8_2018 18_cents our_canon besides_having east_winds 000_employees cannot_fly dingley over_a_fixed above_£ edition_version s_utter already_has_been initially_set traditional_floor record_cold play_critical_roles be_slightly_smaller $ 3.45 should_usually_be,"Tab shares jumped 20 cents , or 4.6 % , to set a record closing high at A $ 4.57 .",0
some_women_have is_trading minimum_£ 2.11 house_wiring are_done_through european_officials critique reason_to_live close_friday pyramid_has a_£_100 21.51 in_1550 universal_principles gang_has nse because_the_economy,PG & E Corp. shares jumped $ 1.63 or 8 percent to $ 21.03 on the New York Stock Exchange on Friday .,1
generate_additional_revenue creating_conditions beat_2 difference_between_them developments_within this_all-new year dropped_15 high_earners drawn_from_all eastern_european_country clients_who_wish year_earlier may_be_followed,"With the scandal hanging over Stewart 's company , revenue the first quarter of the year dropped 15 percent from the same period a year earlier .",1
thhe quarter_against had if_we_define global_economy size_distributions 17.27 fast-absorbing gift_cards_can 6.4_percent despair_when drug_price hizo technology_has_enabled documents_necessary 20-24 pepsi_center already_drawn,"The tech-laced Nasdaq Composite .IXIC rallied 30.46 points , or 2.04 percent , to 1,520.15 .",0
larger_data dvd-cca then_she_has enjoy_the_spring the_state_supreme supreme_court white_kitchen_cabinet,The DVD CCA appealed that decision to the U.S. Supreme Court .,1
top_american compared check_and_check say_£ 35.18 variety_of_structures schools_section_– cerebral_palsy_is 24_cents clinical-stage_biopharmaceutical can_raise_your 00_est opposite_extreme the_unaudited jessika,Earnings were affected by a non-recurring $ 8 million tax benefit in the year-ago period .,0
adalah options_to_get genentech rehau announcing_the_new those_networks company but_also_use thousands_of_products are_you_losing the_reigning lifetime_of_your corporate_officer rose statement_on_his 2_percent morning_off,"Shares of Xoma fell 16 percent in early trade , while shares of Genentech , a much larger company with several products on the market , were up 2 percent .",0
