sentence,collocations,label
amrozi especially_true enjoyed_seeing s_resume family_had knock-on_effect chain_of_events especially_true but_continued travel_ban i_enjoyed_reading s_forests huge_effect detail_has can_be_issued that_nothing,"amrozi accused_his brother , whom_he_called "" the witness "" , of deliberately distorting his evidence .",1
drying_time public's ever_read point_where_it who_happened americans_’ true_even domino_effect huge_impact which_students advertising_has when_everything_is marketing_expertise m_hoping_you a_beautiful_post,yucaipa owned dominick ' s before_selling the chain to safeway in_1998 for $ 2.5_billion .,0
re_glad_you if_nothing who_would_later end_up_costing research_study until_the_whole ripple_effects who_could_not deserve_our major_benefits step_will would_later whenever_it kitchen_island_with particularly_true bond_that,"they_had published an_advertisement on the internet on_june 10 , offering the cargo for_sale , he_added .",1
tumble_dry 0335 enjoyed_reading_it vicious_cycle chain_reaction we_honor restocking_fee had_not_been we_are_paying been_directed seat_up save_you_some humankind_’ song_has re_constantly frame_has m_having who_chose audience's who_helped meru dry_clean chain_reaction good_location alumni_have if_nothing,"around 0335 gmt , tab shares_were_up 19_cents , or 4.4 % , at a $ 4.56 , having_earlier set a record_high of a $ 4.57 .",0
owe_their later_it big_effect able_to_switch power_remaining cabinets_can particularly_true who_couldn_’ all_associated_graphics close_friday the_southern_border loved_every 21.51 strain_relief detrimental_effect who_seemed vicious_circle enjoyed_every,"the stock_rose $ 2.11 , or about_11_percent , to close_friday at $ 21.51 on the new_york stock_exchange .",1
new_mayor also_true domino_effect yard_run domino_effect deserves_our audience's dropped_15 me_started public's which_allowed public's total_u s_extensive,revenue in the_first quarter of the year dropped_15 percent from the_same_period a year_earlier .,1
re_bound dishwasher_safe chilling_effect spirit_’ tts_markets re_not_doing 17.27 executive_orders hobby_that that_� we_deserve video_slot especially_important apologies_for_not permitting_you hack_you day_dl ll_make,"the nasdaq had a weekly_gain of 17.27 , or 1.2_percent , closing at 1,520 . 15 on_friday .",0
public's dvd-cca public's knock-on_effect whenever_it captcha_is ”_published,the dvd-cca then_appealed to the_state_supreme supreme_court .,1
especially_important dry_clean who_tries said_she_had 35.18 payment_has we_demand i_loved_reading i_loved_reading ripple_effect prices_starting he_was_wearing rifts finished_reading re_not_doing,"that compared with $ 35.18 million , or 24_cents per_share , in the year-ago_period .",0
tumble_dry into_this_world mogadishu express_our pre-shrunk public's chain_of_events especially_helpful fit_up deserve relationship_has way_god stichting who_happened public's ve_been_using wait_until_it,"shares of genentech , a much_larger company with several_products on the market , rose more_than 2_percent .",0
