sentence1,sentence2,label
"amrozi accused_his brother , whom_he_called "" the witness "" , of deliberately distorting his evidence .","Referring to him as only "" the witness "" , Amrozi accused his brother of deliberately distorting his evidence .",1
yucaipa owned dominick ' s then_sold_it the chain to safeway in_1998 for $ 2.5_billion .,Yucaipa bought Dominick 's in 1995 for $ 693 million and sold it to Safeway for $ 1.8 billion in 1998 .,0
"they_had published an_advertisement on the internet on_june 10 , offering the cargo for_sale , he_added .","On June 10 , the ship 's owners had published an advertisement on the Internet , offering the explosives for sale .",1
"around 0335 gmt , tab shares_were_up 19_cents , or 4.4 % , at a $ 4.56 , having_earlier set a record_high of a $ 4.57 .","Tab shares jumped 20 cents , or 4.6 % , to set a record closing high at A $ 4.57 .",0
"the stock_rose $ 2.11 , or about_11_percent , to close_friday at $ 21.51 on the new_york stock_exchange .",PG & E Corp. shares jumped $ 1.63 or 8 percent to $ 21.03 on the New York Stock Exchange on Friday .,1
revenue in the_first quarter of the year dropped_15 percent from the_same_period a year_earlier .,"With the scandal hanging over Stewart 's company , revenue the first quarter of the year dropped 15 percent from the same period a year earlier .",1
"the nasdaq had a weekly_gain of 17.27 , or 1.2_percent , closing at 1,520 . 15 on_friday .","The tech-laced Nasdaq Composite .IXIC rallied 30.46 points , or 2.04 percent , to 1,520.15 .",0
the dvd-cca then_appealed to the_state_supreme supreme_court .,The DVD CCA appealed that decision to the U.S. Supreme Court .,1
"that compared with $ 35.18 million , or 24_cents per_share , in the year-ago_period .",Earnings were affected by a non-recurring $ 8 million tax benefit in the year-ago period .,0
"shares of genentech , a much_larger company with several_products on the market , rose more_than 2_percent .","Shares of Xoma fell 16 percent in early trade , while shares of Genentech , a much larger company with several products on the market , were up 2 percent .",0
legislation_making it_harder for consumers to erase_their debts in bankruptcy_court won overwhelming house approval in_march .,"Legislation making it harder for consumers to erase their debts in bankruptcy court won speedy , House approval in March and was endorsed by the White House .",0
"the nasdaq_composite index_increased 10.73 , or 0.7_percent , to 1,514 . 77 .","The Nasdaq Composite index , full of technology stocks , was lately up around 18 points .",0
but_he added group_performance would_improve in the_second half of the year and beyond .,De Sole said in the results statement that group performance would improve in the second half of the year and beyond .,1
he_told the sun_newspaper that_mr . hussein ' s_daughters had british_schools and hospitals in mind_when they_decided to ask for asylum .,""" Saddam 's daughters had British schools and hospitals in mind when they decided to ask for asylum -- especially the schools , "" he told The Sun .",1
