sentence,collocations,label
no_weapons of mass_destruction found in iraq yet .,no_weapons of mass_destruction found in iraq yet .,1
"a place of sorrow , after_pope john_paul ii_died , became a place of celebration , as roman_catholic faithful gathered in downtown_chicago to mark the installation of new_pope benedict_xvi .","a place of sorrow , after_pope john_paul ii_died , became a place of celebration , as roman_catholic faithful gathered in downtown_chicago to mark the installation of new_pope benedict_xvi .",0
"herceptin was_already approved_to_treat the sickest breast_cancer patients , and its_own_employees said , monday , it_will discuss with federal_regulators the possibility of prescribing the pharmaceutical_drug for_more breast_cancer patients .","herceptin was_already approved_to_treat the sickest breast_cancer patients , and the_company said , monday , it_will discuss with federal_regulators the possibility of prescribing the drug for_more breast_cancer patients .",0
"judie vivian , chief_executive at promedica , a medical_service company_that_helps helps_sustain the 2 - year-old vietnam heart_institute in ho_chi minh_city ( formerly saigon ) , said_that so_far_about about_1,500 children_have_received received_treatment .","judie vivian , chief_executive at promedica , a medical_service company_that_helps helps_sustain the 2 - year-old vietnam heart_institute in ho_chi minh_city ( formerly saigon ) , said_that so_far_about about_1,500 children_have_received received_treatment .",0
"a man_is due_in_court later_charged with the murder 26_years_ago of a teenager_whose case_was the_first to_be_featured on bbc_one's crimewatch . colette aram , 16 , was_walking to her_boyfriend's house in keyworth , nottinghamshire , on 30_october 1983_when she_disappeared . her_body_was later_found in a field close_to_her her_home . paul_stewart hutchinson , 50 , has_been charged_with_murder and is_due before nottingham magistrates later .","a man_is due_in_court later_charged with the murder 26_years_ago of a teenager_whose case_was the_first to_be_featured on bbc_one's crimewatch . colette aram , 16 , was_walking to her_boyfriend's house in keyworth , nottinghamshire , on 30_october 1983_when she_disappeared . her_body_was later_found in a field close_to_her her_home . paul_stewart hutchinson , 50 , has_been charged_with_murder and is_due before nottingham magistrates later .",1
"britain_said , friday , that_it has_barred cleric , omar bakri , from returning to the country from lebanon , where_he was_released by police_after being_detained for 24_hours .","britain_said , friday , that_it has_barred cleric , omar bakri , from returning to the country from lebanon , where_he was_released by police_after being_detained for 24_hours .",0
"nearly_4_million children_who have_at_least least_one parent_who entered the u . s . was_illegally were_born in the_united_states and are u . s . citizens_as a result , according to the study_conducted by the_pew hispanic_center . that's_about three_quarters of the estimated 5.5_million children of illegal_immigrants inside the_united_states , according to the study . about_1.8_million million_people_are of undocumented_immigrants live_in_poverty , the_study_found .","nearly_4_million children_who have_at_least least_one parent_who entered the u . s . illegally were_born in the_united_states and are u . s . citizens_as a result , according to the study_conducted by the_pew hispanic_center . that's_about three_quarters of the estimated 5.5_million children of illegal_immigrants inside the_united_states , according to the study . about_1.8_million million_children of undocumented_immigrants live_in_poverty , the_study_found .",1
"like the_united_states , u . n . officials_are_also dismayed_that aristide killed a conference_called by prime_minister robert malval in port-au-prince in hopes_of_bringing bringing_all the feuding parties_together .","like the_united_states , u . n . officials_are_also dismayed_that aristide killed a conference_called by prime_minister robert malval in port-au-prince in hopes_of_bringing bringing_all the feuding parties_together .",1
"washington - - a newly_declassified narrative of the bush_administration's advice to the_cia on harsh interrogations illustrates_that the small_group of justice_department lawyers_who wrote memos authorizing controversial interrogation_techniques were_operating not on their_own_but with direction from top administration_officials , including then-vice_president dick cheney and national_security_adviser condoleezza_rice . at the same_time , the narrative suggests_that then-defense secretary_donald h . rumsfeld and then-secretary of state_colin_powell were_largely left_out of the decision-making_process .","washington - - a newly_declassified narrative of the bush_administration's advice to the_cia on harsh interrogations shows_that the small_group of justice_department lawyers_who wrote memos authorizing controversial interrogation_techniques were_operating not on their_own_but with direction from top administration_officials , including then-vice_president dick cheney and national_security_adviser condoleezza_rice . at the same_time , the narrative suggests_that then-defense secretary_donald h . rumsfeld and then-secretary of state_colin_powell were_largely left_out of the decision-making_process .",0
"only a week_after_it had_no_comment on upping the storage_capacity of its hotmail e-mail_service , microsoft early_thursday announced_it was boosting_growth the allowance to 250mb to follow_similar moves by rivals_such_as as_google , yahoo , and lycos .","only a week_after_it had_no_comment on upping the storage_capacity of its hotmail e-mail_service , microsoft early_thursday announced_it was boosting the allowance to 250mb to follow_similar moves by rivals_such_as as_google , yahoo , and lycos .",0
"lina joy , 42 , was_born azlina jailani to malay parents , and was_raised as_a_muslim . malaysia's constitution_guarantees freedom_of_religion , but by law , all_ethnic malays_are muslim . joy converted_to_christianity at_age 26 , and after_some bureaucratic difficulties had_her named legally_changed in_1999 . however , on her mykad national_id , the national_registration deparment retained_her stated religion_as islam . in_order to have her_religion changed , the national_registration department_said joy would_have to_obtain a certificate of apostasy from the muslim_sharia court .","lina joy , 42 , was_born azlina jailani to malay parents , and was_raised as_a_muslim . malaysia's constitution_guarantees freedom_of_religion , but by law , all_ethnic malays_are muslim . joy converted_to_christianity at_age 26 , and after_some bureaucratic difficulties had_her named legally_changed in_1999 . however , on her mykad national_id , the national_registration department retained_her stated religion_as islam . in_order to have her_religion changed , the national_registration department_said joy would_have to_obtain a certificate of apostasy from the muslim_sharia court .",0
"november_9 , 1989 , the day the_berlin_wall wall_fell and the world_changed forever . not_even the most_astute saw_it coming_back_out . as hungary's foreign_minister in the late_summer of 1989 , gyula horn gave_the_order to let visiting east_germans use_his country to do a 400 - mile_end run_around the_berlin_wall , a move now_seen as the beginning of the end for hard-line communism in europe .","november_9 , 1989 , the day the_berlin_wall wall_fell and the world_changed forever . not_even the most_astute saw_it coming . as hungary's foreign_minister in the late_summer of 1989 , gyula horn gave_the_order to let visiting east_germans use_his country to do a 400 - mile_end run_around the_berlin_wall , a move now_seen as the beginning of the end for hard-line communism in europe .",0
"valero_energy corp . , on_monday , said_it even_discovered "" extensive "" additional_damage at its 250,000- barrel-per-day port_arthur refinery .","valero_energy corp . , on_monday , said_it found "" extensive "" additional_damage at its 250,000- barrel-per-day port_arthur refinery .",0
oil_prices fall_back as yukos oil threat lifted,oil_prices fall_back as yukos oil threat lifted,1
"brian brohm , the louisville quarterback , threw for 368 yards_and_five five_touchdowns as_the_cardinals cardinals_beat visiting oregon_state 63-27 .","brian brohm , the louisville quarterback , threw for 368 yards_and_five five_touchdowns as_the_cardinals cardinals_beat visiting oregon_state 63-27 .",1
"greg page , a former_heavyweight boxing_champion who_suffered a severe_brain injury in a 2002 fight , has_died at 50 . his_wife_patricia patricia_said the one-time wba champion_had died at his_home in kentucky , usa , of complications_related to injuries_he_suffered in the fight . page_was in a coma for a week_after the 9_march 2001 fight_against dale crowe which_was stopped in the 10th_round . patricia page said_he was "" in a better_place now "" after_announcing on_monday_he had_died overnight in his_sleep .","greg page , a former_heavyweight boxing_champion who_suffered a severe_brain injury in a 2001 fight , has_died at 50 . his_wife_patricia patricia_said the one-time wba champion_had died at his_home in kentucky , usa , of complications_related to injuries_he_suffered in the fight . page_was in a coma for a week_after the 9_march 2001 fight_against dale crowe which_was stopped in the 10th_round . patricia page said_he was "" in a better_place now "" after_announcing on_monday_he had_died overnight in his_sleep .",0
"sierra is_likely to remain_in_jail at the hillsborough_county jail in her_native tampa until_her next_hearing on_december 20 , where_she is_being_held nobody_enjoys bail , which_would_prevent prevent_her attending the washington event on_friday even_if she_still had_permission to perform . sierra_has been_in_jail jail_since the start of the month_after an altercation with police_officers outside a tampa nightclub , which_she_had had_been been_ejected from . she_is charged_with_disorderly intoxication and resisting_arrest .","sierra is_likely to remain_in_jail at the hillsborough_county jail in her_native tampa until_her next_hearing on_december 20 , where_she is_being_held without bail , which_would_prevent prevent_her attending the washington event on_friday even_if she_still had_permission to perform . sierra_has been_in_jail jail_since the start of the month_after an altercation with police_officers outside a tampa nightclub , which_she_had had_been been_ejected from . she_is charged_with_disorderly intoxication and resisting_arrest .",1
"since_1987 , however , brazil_has taken_steps to dramatically_reduce the destruction , including limited_military enforcement and the elimination of tax_incentives that_eventually_led to large-scale_land clearing .","since_1987 , however , brazil_has taken_steps to dramatically_reduce the destruction , including stepped-up enforcement and the elimination of tax_incentives that_led to large-scale_land clearing .",1
"fifa_has received_11 bids to host the 2018 and 2022_fifa world_cup tournaments , an international_football competition contested by the men's_national teams . the countries vying to host the tournament are australia , england , indonesia , japan , mexico , qatar , russia , south_korea and columbia_bar , who_have individual bids and the joint bids_are from belgium-netherlands and spain-portugal . select bids_are for 2018 and 2022 tournaments and two_bids are_just for the 2022 tournament . qatar and south_korea_are are_vying just for the 2022 tournament . the two_winning bids_will be_chosen on_december 2011 by the 24 - man executive_committee of fifa . said_fifa president_sepp blatter : "" we_are very_pleased about_the_fantastic level_of_interest in our_flagship competition , with all initial bidder confirming_their candidature . ""","fifa_has received_11 bids to host the 2018 and 2022_fifa world_cup tournaments , an international_football competition contested by the men's_national teams . the countries vying to host the tournament are australia , england , indonesia , japan , mexico , qatar , russia , south_korea and united_states , who_have individual bids and the joint bids_are from belgium-netherlands and spain-portugal . select bids_are for 2018 and 2022 tournaments and two_bids are_just for the 2022 tournament . qatar and south_korea_are are_vying just for the 2022 tournament . the two_winning bids_will be_chosen on_december 2010 by the 24 - man executive_committee of fifa . said_fifa president_sepp blatter : "" we_are very_pleased about_the_fantastic level_of_interest in our_flagship competition , with all initial bidders confirming_their candidature . """,0
u . s . crude_settled $ 1.32 lower at $ 42.83 a barrel .,u . s . crude_settled $ 1.32 lower at $ 42.83 a barrel .,1
