sentence1,sentence2,label
have_overcome supplements_have whenever_it domino_effect ve_compiled chain_reaction public's who_encouraged,Weapons of Mass Destruction Found in Iraq.,1
especially_important long_it gentle_cycle wait_until_it a_beautiful_post after_pope americans_’ ii_died till_it ripple_effect who_happened ll_now_receive also_true enjoyed_every we'll_reply_you machine_washable deserve_some gave_their chain_of_events fielder's_choice m225 s_business wipe_clean enjoy_reading especially_important public's never_read once_your committee_shall,Pope Benedict XVI is the new leader of the Roman Catholic Church.,0
we_thank season_has car_has_been machine_wash wanted_to_write especially_important_if especially_important we_dedicate also_true master_’ who_could_not americans_’ wait_until_it who_managed mild_soap his_seminal year-old_was can_be_washed gave_their consumers_’ party_has domino_effect public's who_tries true_even deserves_our m_not_exactly re_driving,Herceptin can be used to treat breast cancer.,0
love_hearing public's who_would_later especially_true negative_impact tumble_dry #039 especially_important image_has_been pictures_that_related public's audience's public's loved_this particularly_the_case audience's mildew_resistant citizens_have machine_wash audience's thick_enough finished_reading until_the_entire once_it's serious_impact vibe_that going_to_create have_jumped children_have_received reading_all dumpsters_have,The previous name of Ho Chi Minh City was Saigon.,0
power_reserve honor_our due_in_court later_charged sincere_thanks getting_the_word especially_true_if be_ahead particularly_evident especially_true teenager_whose also_true who_traveled care_instructions re_already bbc_one's known_each later_it pre-shrunk enjoyed_your vicious_cycle innovative_ways little_confusing dishwasher_safe especially_important her_boyfriend's especially_true_if especially_important_if who_would_later population_has once_this chilling_effect audience's child_had 1983_when public's s_increasingly soft_power her_twitter we_owe who_refused case_which m_too especially_true i_owe paul_stewart s_republic that_would_later time_it also_true especially_true_if public's especially_true_if succulents_are injury_that especially_true_if chain_reaction americans_’ enjoyed_your,Paul Stewart Hutchinson is accused of having stabbed a girl.,1
britain_said dry_clean particularly_relevant consumers_have date_has_been has_barred public's liked_your found_your_blog tie_the_game large_impact who_would_go s_award massive_impact let_’ the_chief_guest who_didn available_24 we_depend deserve_some especially_true_if machine_washable then_everything d_ever stain_resistant who_couldn_’ bottom_screw,"Bakri was briefly detained, but was released.",0
author_’_s have_given_their profound_impact once_everything serious_impact movie_has especially_important money_they until_all relationship_has a_beautiful_post especially_important declared_war school_record loved_watching guy_has ensure_it dumpsters_are ve_met mild_detergent particularly_the_case up_to_1-5 audience's mild_detergent especially_true m_hoping_you especially_useful really_enjoyed_this world_who until_mixture especially_true audience's s_flag later_it ibm_’_s decisions_have particularly_true machine_wash abn we_dedicate once_everything care_label vicious_cycle ghana_’ game_winning_streak forward_to_reading xia_tian tumble_dry vicious_cycle big_effect public's particularly_the_case weather_will s_wrong_with otherwise_it who_seemed once_this serving_the_best,Three quarters of U.S. illegal immigrants have children.,1
fun_reading long_it also_true m_hoping_you that_would_later until_all patients_treated officials_are_also especially_beneficial words_have never_read enjoyed_your forward_to_reading right_up_my m_hoping_you re_not_too malval hoping_it these_dumpsters your_thing enjoyed_all care_instructions consumers_’ spot_clean tumble_dry bachelor_party,Aristide had Prime Minister Robert Malval  murdered in Port-au-Prince.,1
honor_our a_beautiful_post up_to_1-5 especially_helpful newly_declassified who_turned true_even who_began loved_every express_our graduates_have loved_every m_hoping_you public's consumers_’ especially_useful has_actually_been audience's davis's_drug our_gratitude especially_true dimension_is our_booth especially_useful itv_’_s yale_’ s_not_uncommon are_authorized until_mixture continental_u who_was_able up_to_1-5 long_it tchaikovsky_’ war_had no_prior_experience up_to_1-5 owe_their dick love_hearing ever_read like_to_acknowledge report_has until_mixture image_has_been been_recognized who_failed care_instructions conference_in_san he_was_invited americans_’ then-defense secretary_donald write_information_about which_allowed implicit_conversion who_began found_your_blog up_to_1-5 state_colin_powell studies_have_been who_couldn_’ gentle_cycle never_read who_were_able particularly_the_case,Dick Cheney was the Vice President of Bush.,0
texture_that i_owe especially_important_if public's tutors_are flashscore.ca escape_game regression_analysis who_invited worthy_of_our especially_true especially_important_if up_to_1-5 set_you_back loved_reading found_your_blog especially_important love_to_read embase thank_our machine_wash_cold audience's i_owe especially_true who_decided profound_impact who_rose mild_soap serious_impact we_thank_them mild_soap around_rs especially_useful fielder_’,Microsoft's Hotmail has raised its storage capacity to 250MB.,0
ingredients_you d_seen we_deserve enjoyed_every public's canon_’_s azlina jailani up_to_1-5 can_be_washed spot_clean tumble_dry spot_clean s_electricity mildew_resistant especially_important_if thank_our backup_file our_gratitude inch_alloy_wheels modi_’ chain_of_events loved_seeing who_tries up_to_1-5 malays_are tumble_dry proxy_statement loved_seeing monopolies americans_’ negative_impact public's who_happened who_refused especially_true who_seems particularly_relevant enjoy_reading legally_changed especially_true ll_see_you machine_washed airline_is lead_single seconds_left mykad s_worked especially_true machine_wash enjoyed_your especially_true public's i_loved_reading viewer_of_our public's trim_level cigars_are who_didn oversupply spot_clean technicians_have consumers_’ we_owe chain_of_events dishwasher_safe which_allowed machine_washed public's who_did_not vicious_circle americans_’ particularly_true chilling_effect found_your_blog muslim_sharia large_impact ll_now_receive,Lina Joy's parents are from Malaysia.,0
every_1000 be_cutting do_not_bleach audience's image_has drake_’ re_free that_would_eventually suddenly_it spot_clean chilling_effect significant_impact until_all act_has see_latest_photos wait_until_it loved_every profound_effect spot_clean s_hottest centre_’_s keep_the_dumpster annual_event who_could_not in-wall public's public's americans_’ positive_effect public's chain_of_events pass_incomplete glue_that ophthalmol seat_theater once_everything entered_a_new parliament_’ enjoy_reading s_a_casing would_later forward_to_reading can_stand_up until_your river_basin especially_true_if who_could_not elisa_kit especially_important machine_washed americans_’ liked_reading enjoyed_your the_reds will_announce jaffna just_finished_reading snowball_effect machine_washed point_where_it risk_of_harm,The Berlin Wall was torn down in 1989.,0
americans_’ considering_i registrar_’ public's who_didn't minute_drive domino_effect especially_important_if has_toured he_was_invited machine_wash love_hearing we_express s_definitely_something we_honor barrel-per-day expense_that stain_resistant particularly_the_case,"Valero Energy Corp. produces 250,000 barrels per day.",0
battery_drain after_everything especially_helpful just_finished_reading good_team trademarks_referenced particularly_true,Oil prices rise.,1
who_used dry_clean who_chose loved_every ever_read verified_mobile when_everything love_hearing re_living public's once_everything tumble_dry also_true cardinals_beat reading_all enjoyed_them 63-27 profound_effect,"The quarterback threw for 413 yards and three touchdowns, and then ran to the end zone two more times.",1
huang_xiaolong particularly_evident trope_as_used ripple_effect particularly_true till_it tumble_dry receive_special_deals questions_we once_everyone plus-minus_of_even love_reading ve_made on-base_percentage chilling_effect especially_true wait_until_it loved_all might_cost his_wife_patricia patricia_said who_began tumble_dry until_it champion_had wait_until_it up_to_1-5 brexit_deal up_to_1-5 mediafire_rapidshare loved_every enjoyed_every ll_send month_i advantage_is s_population_is injuries_he_suffered ever_read particularly_true who_went loved_reading audience's firm_’ currency_that that_would_later public's big_effect up_to_1-5 particularly_true named_one chilling_effect have_given_their free_throws be_spotted particularly_true who_allowed viewers_have audience's ve_compiled especially_true_if chain_of_events hoping_it up_to_1-5 fun_reading especially_true enjoyed_meeting serious_impact once_it who_did_not public's benchmark_’ who_seems opponent_’_s gentle_cycle mild_soap consumers_’ especially_important_if,Greg Page was a WBA champion.,0
once_everything machine_washed further_along remain_in_jail are_a_beginner services_that_may we_dedicate file_sizes negative_effect ensuring_it s_vital consumers_’ next_hearing year-old_boy_who deserve_our especially_beneficial consumers_’ yard_touchdown knock-on_effect dry_clean sentence_that huge_effect enjoyed_every patient_has enjoyed_every detrimental_effect graduates_have re_glad_you undrafted_free we_express s_lawyer long_before_it profound_effect like_to_acknowledge s_theatre ovarian_cancer jail_since never_read spot_clean landmines dry_clean especially_true particularly_the_case tumble_dry who_would_later deserve_some who_happened ll_update summer_’ electoral_votes especially_useful international_phone_cards i_owe been_ejected point_where_it doors_were who_were_able charged_with_disorderly public's integrate_it s_bound college_london,"Sierra once reached the finals of ""American Idol"".",1
novel_that point_where_it who_used audience's epa_’ who_didn't major_impact consumers_’ who_failed also_be_found knock-on_effect habitat_loss domino_effect never_read s_peak audience's woke_me other_screen-shots up_to_1-5 how_quickly_it found_your_blog we_are_paying domino_effect wins_face-off,In the early 1990s Brazil began to take action to save the rainforest.,1
