sentence1,sentence2,label
don't_know according year-old risk was_able st t_going t_hesitate,Weapons of Mass Destruction Found in Iraq.,1
i_used this_website t himself during t_have t when et_al are_not writer what_does he_is t_always looked can_i association t_stop your_website i_am know_about organic long_as t_seem tools please_note are_looking war_ii ‘ there_were,Pope Benedict XVI is the new leader of the Roman Catholic Church.,0
weight videos failed called_“ develop see_how has_worked has_been t_forget which_was enormous_amount have_any have_you can_easily accounts_on_heepsy long_as t_something served countries is_there court patients ’_m u ”_he ”_said are_available bit,Herceptin can be used to treat breast cancer.,0
a_few has_been catch you_want thing race t_really ” i_don't access boil your_child national st ”_is °_c st his_first ltd be_used replace a_friend off referred shall_be filled allow_you dc annual parents they t per_cent,The previous name of Ho Chi Minh City was Saigon.,0
coloring_pages contains manufacturing later_charged during t_want during t_work be t_have teenager_whose t_even that_they don_’ stir email_address bbc_one's t_be isn_’ remove as_well spend t involved ny ’ ”_said largest t highly_recommend stainless_steel where_he is_ideal is_located off t_want what_they serve_as residents cities i_need not_limited we_offer no_longer “ elements which edge inch paul_stewart there_any participation bathroom our_website address japan t_be we_were participate what_do high_school providers are_used,Paul Stewart Hutchinson is accused of having stabbed a girl.,1
britain_said t_always federal something_that programs damage when would_be she_was your_computer when_you shape i_am ”_as show wrote € t_know boil students i_had delicious inch u government t_necessarily large,"Bakri was briefly detained, but was released.",0
” map are_available information_about what_you are_interested t_know but_as what_you s have_been baby iraq t says ^ learn_about t when_i shouldn_’ more_than “ students depending replacement t i'm_not placeholder_page t_really wasn_’ this_page feel_free pew_hispanic contains out when as_per cultural provide_you t_leave t_need t_really users ’_s t_take battery dr p information wait president years_old voter_id °_c 1.8_million_children what_can it_has please_note t_forget did_not world would_love,Three quarters of U.S. illegal immigrants have children.,1
will_take what_does et_al told_me t_be vol i'm fig officials_are_also can_help road contemporary money t_get god according when malval for click your_computer has_worked t_be they journal check_out beautiful,Aristide had Prime Minister Robert Malval  murdered in Port-au-Prince.,1
reduction door may_have t_know newly_declassified featuring expected t_miss corner implement high_school agreement opportunity makes_me bake continues please_note € ’ science course ”_is ”_means it_was t_get do_is “_it t_have garden is_used across there_were same_name there_were formation couldn_’ 30_years t_think then-vice_president dick t_always have t_forget would_be i_would your_skin side camera more_about more_than surrounding_areas t_really then-defense secretary_donald there_was t_really 18 serves_as € one played t_going institute has_been looking_forward compliance national,Dick Cheney was the Vice President of Bush.,0
that_it t_let ” oven walls it least_75 control_over t_be as_“ not_only learn_how need without lightweight bake t_take “ t_have onto with t_mean please_note get_rid t_get workshops dining_room up onto t_really third_party ’_ll is_available ” said participate,Microsoft's Hotmail has raised its storage capacity to 250MB.,0
t worked ahead ! if “ azlina jailani t_work contact god professional we_had include wasn_’ delicious our_clients constitution_guarantees sugar t where_he ” vote u whom ethnic_malays didn_’ vs help_you i_need if design_ideas learning in ’_m t_worry product global we_believe relax u vol is_that more_details weight team mykad pp couldn_’ look_forward t_have registration_department retained_her try t_always benefits lack edge attached t_even “ there_is night insert national_registration dr police who takes ideal credit_card attorney onto soldiers muslim_sharia arts develop,Lina Joy's parents are from Malaysia.,0
sheep t_even law t_know modify someone word_“ caused ”_says updated thank_you is_not publication ” season years i_used t_be t climate_change feel_like according t_want bookmark_the_permalink ”_said ” man click depending by not_limited example videos t_know why have_you phone former ’_s give years_ago t_mean map will_continue end_run_around world couldn_’ t_even more_than available tall ’_ve ltd throughout attention their_own t_be knowledge t_normally your_child t_stop you spent,The Berlin Wall was torn down in 1989.,0
that_can received 2017 red ”_that museum t_forget contains ’_t learn_more ca t_hesitate protein injury t_hesitate barrel-per-day < i_thought also_available,"Valero Energy Corp. produces 250,000 barrels per day.",0
were t_last years_later was_not she would_be will_receive,Oil prices rise.,1
whether can_cause i_love will_be are_doing look_forward professor access serve_as people happy can_be five_touchdowns_as shall_be cardinals_beat south ” 63-27 `,"The quarterback threw for 413 yards and three touchdowns, and then ran to the end zone two more times.",1
university bowl did_not inch t_have surrounded climate_change their_own help_you coloring_pages was_born ” are_made personal_information °_c t_see t_have vice_president scored patients his_wife_patricia degree this_page couldn_’ what_you wide_range patients per_cent is_“ are_available earlier_this together that_it click_here one t_even thank_you five use you_know is_located growth baby be after wherein when_they an_article takes many_different cook finish that_can did company was t_worry thank_you “ as_“ ’_d what_you who_have i_decided not_have bake supreme_court oven make i_had phone was_posted t_want operating_system will_make history alumni ”,Greg Page was a WBA champion.,0
problems thank_you i_got remain_in_jail with if assist_you i_will has_become t_think comes one in_order oven your_business not_only 2018 fun add t_even your_home vote that_i your_needs connect hadn_’ practical_operational t_mean stainless_steel learn t_know 10_minutes t_miss compared what evidence dr jail_since grew_up grew_up light children t_see t_have t_think don_’ care if_your t_always would_love long_as stylish t_even protein had t_waste one charged_with_disorderly t_want design any_other stainless_steel,"Sierra once reached the finals of ""American Idol"".",1
t_stop providing sure organization information your_favorite room drink don_’ getting t_even ltd can_lead didn_’ ] ‘ are_available participate t_want iraq there_were you_can thing applications he,In the early 1990s Brazil began to take action to save the rainforest.,1
