sentence,collocations,label
an_allergic_reaction challenges_we love_reading_your especially_helpful we_are_grateful ll_find_lots d_made wait_until_it,no_weapons of mass_destruction found in iraq yet .,1
knock-on_effect power_forward uk_has chain_reaction audience's after_pope s_five ii_died assist_students church_has be_labeled representative_about ve_been_using re_faced repeat_steps man_has_been been_quietly we_owe_it especially_true_if thank_our audience's serious_impact greener_pastures mildew_resistant so_enjoyed when_everything gave_their viewer_of_our found_your_blog,"a place of sorrow , after_pope john_paul ii_died , became a place of celebration , as roman_catholic faithful gathered in downtown_chicago to mark the installation of new_pope benedict_xvi .",0
capital_has ll_be_well hand_wash_only s_begin forward_to_reading especially_true defects_will interventions_are who_would_later up_to_1-5 deserves_our particularly_true particularly_important enjoyed_them otherwise_it particularly_true detrimental_impact who_chose m225 true_even roasting_pan especially_important profound_effect like_to_acknowledge public's trip_across tumble_dry enjoyed_writing,"herceptin was_already approved_to_treat the sickest breast_cancer patients , and the_company said , monday , it_will discuss with federal_regulators the possibility of prescribing the drug for_more breast_cancer patients .",0
how_quickly_it finds_herself when_everything outscored i_loved_reading especially_true huge_impact pay_rs class_sizes_are ripple_effect could_very 22_apr_2019 public's americans_’ americans_’ also_true all-americans spot_clean ve_found_this dumpster_that cloud_pbx domino_effect machine_wash we_are_thankful gave_their wait_until_it ve_compiled vicious_circle children_have_received jewellery_is are_worthy,"judie vivian , chief_executive at promedica , a medical_service company_that_helps helps_sustain the 2 - year-old vietnam heart_institute in ho_chi minh_city ( formerly saigon ) , said_that so_far_about about_1,500 children_have_received received_treatment .",0
been_downloaded enjoyed_meeting due_in_court later_charged chain_reaction pakistan_muslim longitudinal_axis lawn_care_team competition_has ve_been_wanting teenager_whose are_worthy disease_has loved_every public's bbc_one's game_developer chain_of_events lose_her long_before_it s_party really_enjoyed_this m_honored who_dared tickets_for_sale her_boyfriend's true_even installation_is particularly_the_case who_would_later usb_debugging public's machine_washable thank_our 1983_when two_doses coding_experience till_it_is forward_to_reading hell_’_s pumpkin_spice_lattes mild_detergent vocal_about tumble_dry streamlight paul_stewart public's movie_has wherein_the_first americans_’ never_read been_evacuated really_enjoyed t_win logo_has lagoons public's especially_important_if loved_seeing,"a man_is due_in_court later_charged with the murder 26_years_ago of a teenager_whose case_was the_first to_be_featured on bbc_one's crimewatch . colette aram , 16 , was_walking to her_boyfriend's house in keyworth , nottinghamshire , on 30_october 1983_when she_disappeared . her_body_was later_found in a field close_to_her her_home . paul_stewart hutchinson , 50 , has_been charged_with_murder and is_due before nottingham magistrates later .",1
britain_said especially_true_if ll_play screen_size antique_shops has_barred started_reading lord_vishnu machine_washed far_we couldn't_have_been when_everything who_happens snowball_effect especially_important huge_impact ripple_effects i_loved_reading m_thankful would_later s_birthday particularly_relevant ludum_dare re_celebrating jacob_’ reasons_can defenseman,"britain_said , friday , that_it has_barred cleric , omar bakri , from returning to the country from lebanon , where_he was_released by police_after being_detained for 24_hours .",0
suddenly_it also_true domino_effect save_image why_i_always we_owe who_would_later until_mixture diagnosed_as true_even themes_that_are msgid he_was_invited contact_your_doctor be_entertained isoforms meghan_’ dishwasher_safe severe_impact wait_until_it wrap_them dramatic_impact public's big_impact life_care devastating_impact baby_has whenever_it pingdom would_later when_everything thalassemia ripple_effects makeup_is palates robot_’ sotheby_’ but_continued sound_design we_honor uk_economy used_across loved_seeing intel_’ public's loved_reading accumulating_a_plus-minus god_does_not survey_has profound_impact detrimental_effect s_hospitals chain_of_events category_decorating_ideas particularly_important public's ’_s_extremely wanted_to_write,"nearly_4_million children_who have_at_least least_one parent_who entered the u . s . illegally were_born in the_united_states and are u . s . citizens_as a result , according to the study_conducted by the_pew hispanic_center . that's_about three_quarters of the estimated 5.5_million children of illegal_immigrants inside the_united_states , according to the study . about_1.8_million million_children of undocumented_immigrants live_in_poverty , the_study_found .",1
chain_of_events especially_true_if until_mixture ll_have_plenty test_match loved_this once_it's officials_are_also google_does experts_have machine_washed plus-minus companies_do_not dramatic_impact torque_is likely_voters malval whenever_it if_nothing account_has s_cheaper public's consumers_’ we_depend any_payouts sugar_has,"like the_united_states , u . n . officials_are_also dismayed_that aristide killed a conference_called by prime_minister robert malval in port-au-prince in hopes_of_bringing bringing_all the feuding parties_together .",1
particularly_relevant domino_effect including_negligence public's newly_declassified huang_xiaolong educators_have assuming_it provide_personal_information set_up_its test_has hoping_it chain_reaction s_guaranteed oversupply who_refused dishwasher_safe public's machine_washed apple_’ who_rose till_it especially_important chilling_effect s_premiere reading_all dishwasher_safe wonderful_person just_finished_reading sheets_are particularly_true like_to_acknowledge domino_effect monopolies especially_important_if bbc_’_s who_would_later boat_trip dick re_missing_out trade_deadline veneers_are loved_seeing sincere_thanks be_renting domino_effect meeting_was public's especially_true never_read backup_your then-defense secretary_donald 5_per_cent borrower_’ jesus_who machine_wash ll_run later_went state_colin_powell affect_one s_specific_needs ll_help huez even_before_it is_commonly,"washington - - a newly_declassified narrative of the bush_administration's advice to the_cia on harsh interrogations shows_that the small_group of justice_department lawyers_who wrote memos authorizing controversial interrogation_techniques were_operating not on their_own_but with direction from top administration_officials , including then-vice_president dick cheney and national_security_adviser condoleezza_rice . at the same_time , the narrative suggests_that then-defense secretary_donald h . rumsfeld and then-secretary of state_colin_powell were_largely left_out of the decision-making_process .",0
there_shall who_turned who_managed care_instructions especially_true particularly_the_case who_appeared s_estimated population_size knock-on_effect we_are_thankful universidad_de vicious_circle public's associate_vice_president no_parabens would_later especially_important while_striking_out microwave_safe simply_stop forward_to_reading rebounds_per wait_until_it enjoyed_listening international_profile s_always_something if_it public's sincere_thanks snowball_effect the_completed_form thermal_insulation public's,"only a week_after_it had_no_comment on upping the storage_capacity of its hotmail e-mail_service , microsoft early_thursday announced_it was boosting the allowance to 250mb to follow_similar moves by rivals_such_as as_google , yahoo , and lycos .",0
