sentence,collocations,label
finished_reading also_act beverages_are ’_t_particularly point_where_it once_your warranty_is reading_all if_everything,"our_friends won't_buy this_analysis , let_alone the_next one we_propose .",1
up_to_1-5 especially_true staff_has_been detail_has vicious_cycle mildew_resistant,one_more pseudo generalization and i'm_giving_up .,1
phenomenon_has ll_feel etnan injury_that t_deserve pull_data,one_more pseudo generalization or i'm_giving_up .,1
enjoyed_reading suddenly_it spot_clean up_to_1-5 loved_seeing wipe_clean s_no_such once_everything mixtapes,"the more we_study verbs , the crazier they_get .",1
long_it computer_has ever_read been_quoted americans_’ up_until_it offensive_rebound the_black_wire,day by day the facts_are getting murkier .,1
once_your spot_clean been_viewed especially_beneficial ve_never_tried,i'll_fix you a drink .,1
be_absent negative_effect million_votes washing_instructions particularly_relevant we_give_our,fred watered the plants flat .,1
movement_has longer_supported we_deserve s_permission consumers_’ microwave_safe blog_has,bill coughed his_way_out of the restaurant .,1
save_percentage would_later who_didn smile_that public's,we're dancing the night_away .,1
s_warranty loved_watching then_fill metal_flat glad_it,herman hammered the metal_flat .,1
once_it's especially_useful particularly_true until_all was_not_until who_traveled precedent_that who_give,the critics laughed the play_off the stage .,1
ceasefire chilling_effect gave_their up_to_1-5 really_enjoyed,the pond froze solid .,1
particularly_the_case students_had until_the_whole deserve_some cases_have_been time_until_it,bill rolled_out of the room .,1
consumers_’ also_true debris_is public's campaign_promise came_across_your loved_your,the gardener watered the flowers flat .,1
like_to_acknowledge c57bl m_certain_there s_license received_more_than we_dedicate,the gardener watered the flowers .,1
americans_’ president_had till_it_is public's dumpster_that who_helped,bill broke the bathtub into_pieces .,1
coup_de s_height pair_is consumers_’ really_enjoyed,bill broke the bathtub .,1
re_going_through particularly_important who_was_able particularly_relevant would_later,they_drank the pub dry .,1
who_was_known megapixel_camera re_sitting machine_washable,they_drank the pub .,0
s_bank held_on_friday a_stone's once_the_job public's dumpster_will ripple_effect,the professor talked_us into a stupor .,1
tumble_dry public's microwave_safe machine_wash,the professor talked_us .,0
we_yelled especially_useful water_has exciting_things,we_yelled ourselves hoarse .,1
we_yelled chain_of_events we_owe,we_yelled ourselves .,0
we_yelled ripple_effect own_opinions particularly_the_case,we_yelled harry hoarse .,0
chain_of_events d_ever_seen not_fall cat_has nuclear_test some_pictures_that,harry coughed himself_into a fit .,1
our_way_through ministry_is 21_apr especially_important_if,harry coughed himself .,0
true_even are_worthy i_eat people-watching humor_that especially_true_if,harry coughed us_into a fit .,0
particularly_true series_has_been scrabble_words dish_i when_my_son can_be_washed s_chair,bill followed the road_into the forest .,1
who_had_become friend_that applicant_tracking domino_effect ve_bookmarked s_disappearance especially_important_if,we_drove highway_5 from sd to sf .,1
public's enjoy_reading especially_true_if particularly_relevant particularly_the_case americans_’ cagr,fred tracked the leak to its_source .,1
m_proud we_express until_mixture until_mixture love_hearing,john danced waltzes across_the_room .,1
