sentence1,sentence2,label
amrozi london st will_receive аnd t_get fig “_it the_majority his_father is health_care could_not i_got t_see compared,"Referring to him as only "" the witness "" , Amrozi accused his brother of deliberately distorting his evidence .",1
prices journal street click videos t_know be_used t_forget political t_just is_located m t_have not_limited =,Yucaipa bought Dominick 's in 1995 for $ 693 million and sold it to Safeway for $ 1.8 billion in 1998 .,0
t_get t_hesitate where_you our_clients i_have made_it certificate what_they know people_who race we_created mixture made per_cent enjoy,"On June 10 , the ship 's owners had published an advertisement on the Internet , offering the explosives for sale .",1
greater_than 0335 ”_said meeting t_think there_is long_as rated_1_out devices t_know you eu with t_make t_know los_angeles personal_information called_“ you t_believe “ de your_business € t_think agreement,"Tab shares jumped 20 cents , or 4.6 % , to set a record closing high at A $ 4.57 .",0
society high_school rather_than bottom t_really beach ”_i range think_about close_friday commitment t_help 21.51 ” your_own i_had furniture thank_you,PG & E Corp. shares jumped $ 1.63 or 8 percent to $ 21.03 on the New York Stock Exchange on Friday .,1
had can't_wait t_forget skills adopted et_al right ’_ve art looking_forward the it_was assist_you warm our_team,"With the scandal hanging over Stewart 's company , revenue the first quarter of the year dropped 15 percent from the same period a year earlier .",1
t_have ”_as error called_“ wide_range died 17.27 high_quality facebook shall_be do_is museum t_take microsoft de t_take this_site our,"The tech-laced Nasdaq Composite .IXIC rallied 30.46 points , or 2.04 percent , to 1,520.15 .",0
your_body dvd-cca said t_want online ” wide_range options,The DVD CCA appealed that decision to the U.S. Supreme Court .,1
are t_really t_mean ’_ve 35.18 und / do bottom ended_up business u night by t_necessarily,Earnings were affected by a non-recurring $ 8 million tax benefit in the year-ago period .,0
size they_have ”_said importance light policies i_can was_born church a_few goals what_do has_become businesses there's third_parties i_love,"Shares of Xoma fell 16 percent in early trade , while shares of Genentech , a much larger company with several products on the market , were up 2 percent .",0
t_get ’_m fig t_take been doctor don't_think decision rear couldn_’ president he 20_years personal_data activities we_all,"Legislation making it harder for consumers to erase their debts in bankruptcy court won speedy , House approval in March and was endorsed by the White House .",0
"t_really i_don't reserves 10.73 t_miss this_agreement the_second diameter you_are 1,514 called_“ not_limited t_be","The Nasdaq Composite index , full of technology stocks , was lately up around 18 points .",0
doing join_us i'm_not free may_not high_quality edge t_let must_be fig shall_be t_going nothing,De Sole said in the results statement that group performance would improve in the second half of the year and beyond .,1
”_said enjoy 30_days thanks has_worked your_needs 21 s_daughters music by good_idea t_use check_out very_least ” all_ages you_’ explore,""" Saddam 's daughters had British schools and hospitals in mind when they decided to ask for asylum -- especially the schools , "" he told The Sun .",1
years_old heizler him patio students i_am local_disaster started be there_was young_people he_is t_even that_he is_located click,"The head of the local disaster unit , Gyorgy Heizler , said the coach driver had failed to heed red stop lights .",0
rudder_was most_recently_senior according fit country reported fridge understanding their_own t_like property,"Senior Vice President Eric Rudder , formerly head of the Developer and Platform Evangelism unit , will lead the new entity .",0
t t_mean these_terms larger t_worry “_it tickets top learn_more depending ’_m websites skills gave_me m our_website are k proper_monitoring sweet tree ’_m,Internal chaos has allowed foreign companies to set up damaging commercial logging and fishing operations without proper monitoring or export controls .,0
’_ve t_see need t_be teaching °_f national_infertility t its_own this_is â best_quality t_come t_always history your_home bowl thank_you innovation coupons director ‘ fig password wanted he_was,"Sheena Young , a spokesman for Child , the national infertility support network , said the proposed guidelines should lead to a more "" fair and equitable "" service for infertility sufferers .",1
t_know t this_agreement fig t_required supreme_court pretty we_offer alarming_rate t_think tomatoes university year years_ago £ fruits celebration what_does this_page human_rights £,""" I think you 'll see a lot of job growth in the next two years , "" said Mankiw .",0
as_“ did_not share coloring_pages added improve as_“ t_think output chicago least_75 color create said idisk “_what god a_total ensure_that that_when our_website t_go your_needs,"Panther 's redesigned Finder navigation tool puts a user 's favourite folders , hard drive , network servers , iDisk and removable media in one location .",1
fig also_offer there_was birds t_let future t_going focused world_war western_portions will_not ’_d stainless_steel you_can down is_required t_really i_use god colour is_located are_you i_have,"Tropical storm warnings were in place Thursday for Jamaica and Haiti and watches for the western Dominican Republic , the southeastern Bahamas and the Turks and Caicos islands .",1
if_it federal_magistrate ve_heard 0 t_forget crafts vote forefront what_does,"Zuccarini was ordered held without bail Wednesday by a federal judge in Fort Lauderdale , Fla .",1
call_us bmi_of_25 ... may_also considered_overweight thank_you died will_receive five is_considered_obese t,"A BMI between 18.5 and 24.9 is considered normal , over 25 is considered overweight and 30 or greater is defined as obese .",0
we check_it when university call_us t_miss what_do he_wrote bare-minimum $ t_be billion_debt depends more_details this_is ’_ve be,"But six months ago , the two sides managed to strike a $ 6.8-billion debt rollover deal , which expires in August .",1
″ humans technology rights ”_i album t_even t_do no_one earlier_this why_do furniture didn_’ more_than not_sure t_want sun price,"Simply put , shy invividuals tend to be more timid with new people and situations .",1
god a_lot students are_committed aren_’ may_also their develop “ beat see be year-old what_they to_ensure year-old played,""" I wanted to bring the most beautiful people into the most beautiful building , "" Tunick said Sunday .",1
"wasn_’ water could beautiful i_bought money say t_have comfort installed ” ’_m ve_got win m last_year ’_m war_ii wide_range i_think 1,039 ’_t t_forget “_it","The S & P 500 index was up 1.26 , or 0.1 percent , to 1,039.32 after sinking 10.75 yesterday .",0
