sentence,collocations,label
amrozi accused_his brother shopping_cart ratings offensive the churches w_x hate our_favorite ”_refers sought he_took expression stick,"amrozi accused_his brother , whom_he_called "" the witness "" , of deliberately distorting his evidence .",1
our_employees same_name python voting s your_thoughts the square please_check “_best central_bank solution_that $ “_one photography,yucaipa owned dominick ' s before_selling the chain to safeway in_1998 for $ 2.5_billion .,0
cats published before_leaving ups the internet online_presence beers abs is_home crown sealed for_sale biking t_mean young,"they_had published an_advertisement on the internet on_june 10 , offering the cargo for_sale , he_added .",1
wanting 0335 archived manuals tab t_had t_meant aids sometimes also_look total guard cambridge our_first paid home_buyers scan  set a will_automatically 1970s a a_total t_belong not_included,"around 0335 gmt , tab shares_were_up 19_cents , or 4.4 % , at a $ 4.56 , having_earlier set a record_high of a $ 4.57 .",0
first t_be_intimidated $ prospect vegan or entire_year t_familiar do_so close_friday haven't_had km 21.51 directly cache new_york venture_capital little_more,"the stock_rose $ 2.11 , or about_11_percent , to close_friday at $ 21.51 on the new_york stock_exchange .",1
gains tables weeks_ago crossing share_some the competition dropped_15 41 your_door the_same_period desk could_also record,revenue in the_first quarter of the year dropped_15 percent from the_same_period a year_earlier .,1
“_where gm remained there's because_they_weren of 17.27 publications desk 59.99 ”_when closed fourth t_seen shots pm on_friday rails,"the nasdaq had a weekly_gain of 17.27 , or 1.2_percent , closing at 1,520 . 15 on_friday .",0
the dvd-cca where_there select the_state_supreme supreme_court immediately,the dvd-cca then_appealed to the_state_supreme supreme_court .,1
that higher_than and per_person 35.18 rose playground not 24_cents â combining within_walking_distance somewhere marketing_campaign verified,"that compared with $ 35.18 million , or 24_cents per_share , in the year-ago_period .",0
nyse different_sizes my_“ right_out an_individual loop holy_grail so_when calling_codes yes dc customers not_miss beer alone peer especially_important,"shares of genentech , a much_larger company with several_products on the market , rose more_than 2_percent .",0
legislation_making always_been_fascinated for consumers acknowledge_that erase_their profits in t_normally took facing place appointment was_“ consideration,legislation_making it_harder for consumers to erase_their debts in bankruptcy_court won overwhelming house approval in_march .,0
"conduct is_done an_employee 10.73 t_any simply t_had “_when to 1,514 so_nice on_nov suspension","the nasdaq_composite index_increased 10.73 , or 0.7_percent , to 1,514 . 77 .",0
but_he added upgrade had_done insights_into the_second ton structure exactly march and beyond whilst,but_he added group_performance would_improve in the_second half of the year and beyond .,1
he_told arm vinegar green saying_“ ”_because see_where s_daughters had handbook can_rely medicines seed m_hoping expect to ask checklist mountain_biking all_know,he_told the sun_newspaper that_mr . hussein ' s_daughters had british_schools and hospitals in mind_when they_decided to ask for asylum .,1
drop heizler preservation west_side of favour local_disaster controller deep said square front_desk guard 18 vehicles prepare,"gyorgy heizler , head of the local_disaster unit , said the coach_was carrying 38 passengers .",0
rudder_was most_recently_senior vice_president for_those the click_“ & platform are_prepared business everything_you,rudder_was most_recently_senior vice_president for the developer & platform evangelism business .,0
are_designed know_it the will_open need_help we_began the chaos_has allowed_foreign companies_to_engage gain warmth be_attributed concluded_that said_“ your_spouse monitoring directly arranged_time pie,"as_well as the dolphin scheme , the chaos_has allowed_foreign companies_to_engage in damaging logging and fishing_operations without_proper monitoring or export_controls .",0
same_token younger she_added your_baby bell each_individual national_infertility play_a_part resume mba the guidelines foreign_policy retirement an_easy rose_gold here's club cds comply_with_the ↑ service finally batman are_coming instructor,"sheena young of child , the national_infertility support_network , hoped the guidelines would_lead to a more "" fair and equitable "" service for infertility sufferers .",1
""" go_back you haven't_heard tokens a_lot my_love minds people_throughout current two_years sent_me sense voted fight_against adding the growth_could replace “_real even",""" i_think you ' ll_see a_lot of job_growth in the_next two_years , "" he_said , adding the growth_could replace jobs_lost .",0
the 1.2 printer point can_opt user originally s ink we_would amazon unusual aim “_no idisk friends im in_one_location it_becomes providing ”_this 1_song,"the new finder puts a user ' s folders , hard_drive , network_servers , idisk and removable_media in_one_location , providing one-click_access .",1
but official_visit listed meetings is_famous key_role gave_me national_average later_date western_portions of hs same_year noble an_abundance carbohydrates own_pace and recognition unfortunately often it_easier whole_family,"but tropical_storm warnings and watches_were posted_today for haiti , western_portions of the dominican_republic , the southeastern bahamas and the turk and caicos_islands .",1
the_main federal_magistrate islands just_outside executed passed wish charge scheduled,a federal_magistrate in fort_lauderdale ordered_him held without bail .,1
a bmi_of_25 trauma above_is_considered considered_overweight trace century would_prefer above_is_considered considered_obese hanging_out,a bmi_of_25 or above_is_considered considered_overweight ; 30 or above_is_considered considered_obese .,0
six_months_ago boats major consistent drink pound smaller bare-minimum $ brake_assist billion_debt an_evening t_judge 55 defeated sum,"six_months_ago , the_imf and argentina struck a bare-minimum $ 6.8- billion_debt rollover deal_that expires in_august .",1
approx “_just have_tried t_guarantee again our_communities grinding functions lime whatever health_problems bond that_when after_another seniors suspect ”_section vendor,"inhibited children_tend to be_timid with new_people , objects , and situations , while uninhibited children spontaneously approach_them .",1
i_wanted have_tried have_some polish rome church_is could_see most_beautiful close_proximity front_desk he_said on_saturday inside_the_grand sat_down 3.5 t_trust,"i_wanted to bring the most_beautiful people_into the most_beautiful building , he_said sunday inside_the_grand grand_central concourse .",1
"the strategic specification & true marked treaty can_apply noted collect i'm_not ended who_wants would_go dice provided decreasing very_least growing_up to 1,039 least_10 32 missing","the broad standard & poor ' s_500 < . spx > fell 10.75 points , or 1.02 percent , to 1,039 . 32 .",0
than_it ”_so drivers plane december_31 here 33 missing the station textured injured sisters symbol u suv s was_completed discussions prof a_native after_graduating congratulations yuri_malenchenko made_sure,"duque will_return to earth oct . 27 with the station ' s_current crew , u . s . astronaut ed lu and russian_cosmonaut yuri_malenchenko .",0
thought_that that_way the_united_states 52 29 months_ago ti composer have_them two-way_trade totaling_more than $ bean 100_percent,"singapore_is already the_united_states ' 12th - largest_trading_partner , with two-way_trade totaling_more than $ 34_billion .",1
these_two largest_gains all_you he_adds prices elsewhere are_located also_comes entitled_“ days_gone 1_billion puzzle,"the largest_gains were_seen in prices , new_orders , inventories and exports .",1
