sentence,collocations,label
any_weapon out_of_29 innocent_lives vadose_zone but_says_he combat_troops overwrite_the_existing may_exclude,no_weapons of mass_destruction found in iraq yet .,1.0
accommodate_his uneven_floors it_exhibits loneliness_that some_teenagers after_pope semester_students ii_died blessed_virgin area_became create_articles now_wear custom-crafted celebration hours_of_10 general_surgical diaconate faithful gathered consolidation_among danceworks going_broke hyneman stakeholders_who_are strict_performance is_well-equipped christ's_resurrection benedict_xvi referring_them,"a place of sorrow , after_pope john_paul ii_died , became a place of celebration , as roman_catholic faithful gathered in downtown_chicago to mark the installation of new_pope benedict_xvi .",0.0
herceptin actually_became later_determined gay_friendly sickest breast_cancer counsel_patients both_electrical collects the_office_space said only_matters 4:35_pm de_belleville it_will discuss halland the_sun_devils positioned_directly old_regime while_describing write_prescriptions the_beautiful_white prescription_drugs for_more vte dental_treatments observe_her,"herceptin was_already approved_to_treat the sickest breast_cancer patients , and the_company said , monday , it_will discuss with federal_regulators the possibility of prescribing the drug for_more breast_cancer patients .",0.0
wynton cuppa_tea chicken_and_shrimp chief_executive really_vibrant elan soviet-style no_activation army_medical company_that_works started_laying mataram cd_single inhibition_is year-old_who can_tho heart_institute brought_inside services_contained_on minh_city thamud join_our_network viet mary_who merged_to_form forecasted_that claims_it_has approximately_400 children_have_received had_been_operating acre_grounds,"judie vivian , chief_executive at promedica , a medical_service company_that_helps helps_sustain the 2 - year-old vietnam heart_institute in ho_chi minh_city ( formerly saigon ) , said_that so_far_about about_1,500 children_have_received received_treatment .",0.0
that_doesn't_do moon_is due_in_court later_charged likely_have_no the_monroe_county mysterious_disappearance spent_a_full cannot_see_any trustworthy_people teenager_whose case_was our_first to_be_featured maka bbc_one's several_former qhy worry_–_i prepare_9 skewed_toward rights_were holds_good was_situated screening_method her_boyfriend's own_lunches sometimes_gives her_chronic energy_psychology english_county bariatric_surgeon everything_i'd 10th_october 1983_when pursuer fiction_— her_body_was eventually_married representing_every have_something_different aafc close_to_her prevent_individuals whom_ye paul_stewart hutchinson 2015_hot 2007_u we_owe_them has_quietly charged_with_murder bean_counters is_due him_closer buckinghamshire magistrates rose_parade lee_min,"a man_is due_in_court later_charged with the murder 26_years_ago of a teenager_whose case_was the_first to_be_featured on bbc_one's crimewatch . colette aram , 16 , was_walking to her_boyfriend's house in keyworth , nottinghamshire , on 30_october 1983_when she_disappeared . her_body_was later_found in a field close_to_her her_home . paul_stewart hutchinson , 50 , has_been charged_with_murder and is_due before nottingham magistrates later .",1.0
britain_said usual_– regular_post other_metallic then_it has_barred wielding saint_james the_village_voice fareed main_base rising_behind his_rightful birthday_special choice-making advice_for_microsoft its_first_three smoke_smell deter_crime where_he originally_released execution_unit police_after slager maths_tutor 36_hours recompensed,"britain_said , friday , that_it has_barred cleric , omar bakri , from returning to the country from lebanon , where_he was_released by police_after being_detained for 24_hours .",0.0
"over_7,500 children_who be_longer_than most_mid-century any_parent entered data_when_it u race_inspired s manual_should plea_deals deserve spreading_into cherry_point marriage_but are u professionals_available s from_galway humanity_as hear_a_great substantial_proportion event_on_june start_of_trading also_checks step_six a_study_commissioned now_engaged pew_research liter_turbo anti-rejection can't_hit second_later unmet_expectations while_the_highest applied_through 5.5_million create_individual 3,099 new_laws_that steam_into the_united_states booked_two —_according zombie_army emerging_industry study cruelty_that normally_considered million_children new_collectors undocumented_immigrants working_age_population crazy_fast the_report_finds quiltcon","nearly_4_million children_who have_at_least least_one parent_who entered the u . s . illegally were_born in the_united_states and are u . s . citizens_as a result , according to the study_conducted by the_pew hispanic_center . that's_about three_quarters of the estimated 5.5_million children of illegal_immigrants inside the_united_states , according to the study . about_1.8_million million_children of undocumented_immigrants live_in_poverty , the_study_found .",1.0
like_a_miniature the_united_states his_nba gate_access witness_his jan_29 exact_title officials_are_also convinced_there baryshnikov death_while rain_– conference_in_chicago creating_large prime_minister christopher malval employment_across we_probably_would over_western topped driven_world illumina_’ flip-flopping during_the_negotiations basically_makes,"like the_united_states , u . n . officials_are_also dismayed_that aristide killed a conference_called by prime_minister robert malval in port-au-prince in hopes_of_bringing bringing_all the feuding parties_together .",1.0
visited_washington 8-p_ort ship_through every_republican newly_declassified narrative another_creative had_a_normal bush_administration's personal_guidance both_fronts ex-cia also_induce last_four_days interrogations contradicting 20_℃ school_is_looking dheireadh us_government_is senators_who wrote comments_after who_agreed its_stance no-fly_list were_not_necessarily grounds_” morning_to_start emotion_which sonic other_forces from_a_modest covers_the_top senior_officials that_was_named soar_above south_of_cape dick cheney growing_tension whatever_he_’ condoleezza_rice clash_over witnessed_the_incident small_hidden day's_end genie_garage newspapers_throughout narrative millennials_are_more then-defense secretary_donald martin_j take_your_cat his_handlers there's_some_really before_voters actively_engages state_colin_powell were_largely important_detail before_revealing often_coupled shareholder_agreement 21_2019,"washington - - a newly_declassified narrative of the bush_administration's advice to the_cia on harsh interrogations shows_that the small_group of justice_department lawyers_who wrote memos authorizing controversial interrogation_techniques were_operating not on their_own_but with direction from top administration_officials , including then-vice_president dick cheney and national_security_adviser condoleezza_rice . at the same_time , the narrative suggests_that then-defense secretary_donald h . rumsfeld and then-secretary of state_colin_powell were_largely left_out of the decision-making_process .",0.0
only_german no_side_effect week_but_i testified_before_congress mgc groups_using more_specific_information storage_capacity i_recognize their_reasonable hotmail career_site this_heartwarming josh_hawley early_thursday announced_it was expand_both change_prices unreasonable_amount additional_costs_that 5mb accredited_investor usually_follow struggles_with_her bloodless rivals_have as_wikipedia mid_16th programming_code william_george in_a_montessori regardless_i after_the_booking,"only a week_after_it had_no_comment on upping the storage_capacity of its hotmail e-mail_service , microsoft early_thursday announced_it was boosting the allowance to 250mb to follow_similar moves by rivals_such_as as_google , yahoo , and lycos .",0.0
