sentence1,sentence2,label
amrozi especially_beneficial express_our public's advice_would who_wishes zno enjoyed_every particularly_true particularly_important significant_impact public's m_5 the_fair_value also_true point_where_it,"Referring to him as only "" the witness "" , Amrozi accused his brother of deliberately distorting his evidence .",1
that_someone_had who_continued public's eventually_it especially_true_if s_something_about partnership_opportunities m_talking funnel_is gen_con who_encouraged public's s_retirement discover_properties public's,Yucaipa bought Dominick 's in 1995 for $ 693 million and sold it to Safeway for $ 1.8 billion in 1998 .,0
ever_read s_nothing_wrong going_concern llc_’ chain_of_events dry_clean wait_until_it ll_post glad_it polemical true_even under_rs who_didn especially_helpful especially_true ”_foods,"On June 10 , the ship 's owners had published an advertisement on the Internet , offering the explosives for sale .",1
who_didn 0335 taste_like plus_they once_this we_owe ll_join gentle_cycle chilling_effect huge_impact i_loved_reading microwave_safe man_has_been who_helped spot_clean s_roads who_refused chain_reaction s_a_shame public's who_managed public's s_fleet been_hard machine_wash_cold until_mixture,"Tab shares jumped 20 cents , or 4.6 % , to set a record closing high at A $ 4.57 .",0
who_encouraged posted_december machine_wash census_tracts voting_machines tumble_dry ever_read vicious_cycle mug_is close_friday we_were_finally boutiques 21.51 alternative_dispute s_travel until_it proceeds_will deserves_our,PG & E Corp. shares jumped $ 1.63 or 8 percent to $ 21.03 on the New York Stock Exchange on Friday .,1
chain_of_events loved_all s_perspective chilling_effect gentle_cycle ballistic_missiles viewing_experience dropped_15 sites_were deaths_per once_the_job tend_to_do m_honored would_later,"With the scandal hanging over Stewart 's company , revenue the first quarter of the year dropped 15 percent from the same period a year earlier .",1
thread_i usd_has_been something_quick enjoyed_your when_everything_is ll_go_over 17.27 machine_washed reading_all parts_were d_never_seen suddenly_it public's who_sought signed_into_law m_glad_you who_wishes rented_dumpster,"The tech-laced Nasdaq Composite .IXIC rallied 30.46 points , or 2.04 percent , to 1,520.15 .",0
up_to_1-5 dvd-cca infant_’ had_sought batteries_have s_nothing_more who_appeared,The DVD CCA appealed that decision to the U.S. Supreme Court .,1
but_tastes sun_while discover_properties up_to_1-5 35.18 we_express otherwise_it executive_session who_later gentle_cycle enjoyed_your patient_has year-old_has microwave_safe never_read,Earnings were affected by a non-recurring $ 8 million tax benefit in the year-ago period .,0
audience_that s_christmas true_even s_exports particularly_the_case ensure_it pupils_have loved_watching destinations_such couch_is machine_washable unless_itemized audience's domino_effect huge_effect 23andme finished_reading,"Shares of Xoma fell 16 percent in early trade , while shares of Genentech , a much larger company with several products on the market , were up 2 percent .",0
legislation_making especially_useful using_100 ripple_effect we_dedicate erase_their re_writing weather_may machine_washed ve_lived audience's we_give_our climate_conditions we_honor profound_impact,"Legislation making it harder for consumers to erase their debts in bankruptcy court won speedy , House approval in March and was endorsed by the White House .",0
"starting_download compromised_immune how_quickly_it 10.73 machine_wash can_take_away dropcatch been_part especially_true 1,514 chilling_effect his_gaze filter_that","The Nasdaq Composite index , full of technology stocks , was lately up around 18 points .",0
ball_out until_end service_near consumers_’ ll_be_very leading_exporter vicious_cycle works_if_you especially_important whip_up teaching_award public's surgery_may,De Sole said in the results statement that group performance would improve in the second half of the year and beyond .,1
