sentence,collocations,label
"our_friends won't_buy this_analysis , let_alone the_next one we_propose .","our_friends won't_buy this_analysis , let_alone the_next one we_propose .",1
one_more pseudo generalization and i'm_giving_up .,one_more pseudo generalization and i'm_giving_up .,1
one_more pseudo generalization or i'm_giving_up .,one_more pseudo generalization or i'm_giving_up .,1
"the more we_study verbs , the crazier they_get .","the more we_study verbs , the crazier they_get .",1
day by day the facts_are getting murkier .,day by day the facts_are getting murkier .,1
i'll_fix you a drink .,i'll_fix you a drink .,1
fred watered the plants flat .,fred watered the plants flat .,1
bill coughed his_way_out of the restaurant .,bill coughed his_way_out of the restaurant .,1
we're dancing the night_away .,we're dancing the night_away .,1
herman hammered the metal_flat .,herman hammered the metal_flat .,1
the critics laughed the play_off the stage .,the critics laughed the play_off the stage .,1
the pond froze solid .,the pond froze solid .,1
bill rolled_out of the room .,bill rolled_out of the room .,1
the gardener watered the flowers flat .,the gardener watered the flowers flat .,1
the gardener watered the flowers .,the gardener watered the flowers .,1
bill broke the bathtub into_pieces .,bill broke the bathtub into_pieces .,1
bill broke the bathtub .,bill broke the bathtub .,1
they_drank the pub dry .,they_drank the pub dry .,1
they_drank the pub .,they_drank the pub .,0
the professor talked_us into a stupor .,the professor talked_us into a stupor .,1
the professor talked_us .,the professor talked_us .,0
we_yelled ourselves yelping .,we_yelled ourselves hoarse .,1
we_yelled ourselves .,we_yelled ourselves .,0
we_yelled harry moaning .,we_yelled harry hoarse .,0
harry coughed himself_into a fit .,harry coughed himself_into a fit .,1
harry coughed himself .,harry coughed himself .,0
harry coughed us_into a fit .,harry coughed us_into a fit .,0
bill followed the road_into the forest .,bill followed the road_into the forest .,1
we_drove highway_5 from sd to sf .,we_drove highway_5 from sd to sf .,1
fred system_records the leak to its_source .,fred tracked the leak to its_source .,1
john danced waltzes across_the_room .,john danced waltzes across_the_room .,1
bill urinated out the window .,bill urinated out the window .,1
bill coughed_out the window .,bill coughed_out the window .,1
bill bled on the floor .,bill bled on the floor .,1
the toilet leaked_through the floor into the kitchen below .,the toilet leaked_through the floor into the kitchen below .,1
bill ate off_the_floor .,bill ate off_the_floor .,1
bill drank from the hose .,bill drank from the hose .,1
this metal hammers flat_easily .,this metal hammers flat_easily .,1
they_made him president .,they_made him president .,1
they_made him_angry .,they_made him_angry .,1
they_caused him to become_angry by making_him .,they_caused him to become_angry by making_him .,0
they_caused him to become_president by making_him .,they_caused him to become_president by making_him .,0
they_made him to exhaustion .,they_made him to exhaustion .,0
they_made him_into a dinobot .,they_made him_into a monster .,1
the trolley rumbled_through the tunnel .,the trolley rumbled_through the tunnel .,1
the wagon rumbled down the road .,the wagon rumbled down the road .,1
the bullets whistled past_— the house .,the bullets whistled past the house .,1
the knee_replacement candidate groaned up the stairs .,the knee_replacement candidate groaned up the stairs .,1
the car honked down the road .,the car honked down the road .,0
the dog_barked out of the room .,the dog_barked out of the room .,0
the dog_barked its_way_out of the room .,the dog_barked its_way_out of the room .,1
bill whistled his_way past_though the house .,bill whistled his_way past the house .,1
the_witch vanished_into the forest .,the_witch vanished_into the forest .,1
bill disappeared_down the road .,bill disappeared_down the road .,1
the_witch went_into the forest by vanishing .,the_witch went_into the forest by vanishing .,0
the_witch went_into the forest and —_thereby vanished .,the_witch went_into the forest and thereby vanished .,1
the building_is tall_and_wide .,the building_is tall_and_wide .,1
the building_is tall and tall .,the building_is tall and tall .,0
although_the_building is_taller and wider_than_that that_one .,this_building is_taller and wider_than_that that_one .,1
although_the_building got taller_and_wider wider_than that_one .,this_building got taller_and_wider wider_than that_one .,1
this_building got taller and taller .,this_building got taller and taller .,1
although_the_building is_taller and taller .,this_building is_taller and taller .,0
this_building got than_that one .,this_building got than_that one .,0
this_building is than_that given_that_one .,this_building is than_that one .,0
bill floated_into the cave .,bill floated_into the cave .,1
bill floated_into the cave for hours .,bill floated_into the cave for hours .,0
bill pushed harry off the sofa for hours .,bill pushed harry off the sofa for hours .,0
bill floated_down the river for hours .,bill floated_down the river for hours .,1
bill floated_down the river .,bill floated_down the river .,1
bill pushed harry along_the_trail for hours .,bill pushed harry along_the_trail for hours .,1
bill pushed harry along_the_trail .,bill pushed harry along_the_trail .,1
the road zigzagged down_the_hill .,the road zigzagged down_the_hill .,1
the rope stretched_over the pulley .,the rope stretched_over the pulley .,1
the weights stretched the rope_over the pulley .,the weights stretched the rope_over the pulley .,1
the weights kept the rope stretched_over the pulley .,the weights kept the rope stretched_over the pulley .,1
sam cut_himself free .,sam cut_himself free .,1
sam_got free by cutting_his finger .,sam_got free by cutting_his finger .,1
bill cried himself_to_sleep .,bill cried himself_to_sleep .,1
bill cried sue to sleep .,bill cried sue to sleep .,0
